r g mean median sd
1 0 0.257885 0.248 0.131005504530219
1 1 0.21472 0.2 0.160352844173824
1 2 0.18652 0.16 0.163168972889191
1 3 0.14944 0.08 0.158240090768194
1 4 0.1244 0.04 0.160199575230098
1 5 0.09244 0 0.143695144993471
1 6 0.08312 0 0.141988825005443
1 7 0.06284 0 0.120545699490549
1 8 0.05224 0 0.116253590470563
1 9 0.04916 0 0.115133618679125
1 10 0.04564 0 0.112006856646975
1 11 0.04488 0 0.112861522776025
1 12 0.04212 0 0.108764586770398
1 13 0.03696 0 0.102001778233337
1 14 0.03196 0 0.095969623155291
1 15 0.02884 0 0.0908477171298636
1 16 0.02668 0 0.0904143370951331
1 17 0.02264 0 0.0845705775230522
1 18 0.01912 0 0.076891728670501
1 19 0.0166 0 0.0707208699143431
1 20 0.01508 0 0.0650355535320737
1 21 0.01304 0 0.0600263405644685
2 0 0.25018 0.214 0.132490102374582
2 1 0.22652 0.2 0.147984421440194
2 2 0.205 0.2 0.164673365537106
2 3 0.1738 0.12 0.166417711962564
2 4 0.14608 0.08 0.159984463710164
2 5 0.11872 0.04 0.151564287790143
2 6 0.10784 0 0.148071805755382
2 7 0.09604 0 0.145092281566492
2 8 0.08788 0 0.145235667103501
2 9 0.07136 0 0.127859682849984
2 10 0.04976 0 0.108854911656718
2 11 0.04304 0 0.10456046715318
2 12 0.03924 0 0.0996220203918137
2 13 0.0338 0 0.0965716629559939
2 14 0.03116 0 0.091208406264847
2 15 0.02688 0 0.0825074122311024
2 16 0.02548 0 0.0814997657163001
2 17 0.02484 0 0.0872891390368458
2 18 0.02396 0 0.0819795037740473
2 19 0.02128 0 0.0784328586328033
2 20 0.0208 0 0.0792517560741769
2 21 0.01788 0 0.0728231337475174
3 0 0.248326 0.244 0.128055112493941
3 1 0.21328 0.2 0.158591275903792
3 2 0.17208 0.12 0.150758089672168
3 3 0.13976 0.08 0.157294258903127
3 4 0.11144 0.04 0.144738646102814
3 5 0.10312 0 0.144537734715737
3 6 0.08592 0 0.139267904231912
3 7 0.08312 0 0.143224225530386
3 8 0.07724 0 0.140676125096521
3 9 0.06244 0 0.122230055987006
3 10 0.05424 0 0.118646109499213
3 11 0.03952 0 0.102468870733845
3 12 0.04224 0 0.109955775985951
3 13 0.03672 0 0.10577158989648
3 14 0.03304 0 0.100431294151001
3 15 0.02544 0 0.0838656058216945
3 16 0.02224 0 0.0748370428530082
3 17 0.01856 0 0.0704932315594603
3 18 0.01868 0 0.0744728393698253
3 19 0.01768 0 0.0725305334206104
