r gen percentile mean
1 0 50 0.0273201946330875
1 0 90 0.138862418960373
1 0 95 0.206886148228156
1 1 50 0.0446644621836438
1 1 90 0.326991536678398
1 1 95 0.471660279473598
1 2 50 0.0559276243840115
1 2 90 0.355596242241128
1 2 95 0.543713824178336
1 3 50 0.0549158090480827
1 3 90 0.443796740865934
1 3 95 0.70478640054529
1 4 50 0.0590341533531309
1 4 90 0.490259826325259
1 4 95 0.764025967740053
1 5 50 0.056972237236289
1 5 90 0.568662733087211
1 5 95 0.773935300421679
1 6 50 0.0578658609286049
1 6 90 0.621591919778495
1 6 95 0.871148988712284
1 7 50 0.0711480158169231
1 7 90 0.713921377059249
1 7 95 0.862717759205131
1 8 50 0.0728296736585922
1 8 90 0.750706417167583
1 8 95 0.939173326673327
1 9 50 0.0497639749202109
1 9 90 0.598455545720277
1 9 95 0.87574595920384
1 10 50 0.0907025502072903
1 10 90 0.624004097252936
1 10 95 0.779913847012369
1 11 50 0.0631480400947167
1 11 90 0.549063391397556
1 11 95 0.63964503330752
1 12 50 0.0685368155515081
1 12 90 0.550144741220887
1 12 95 0.702929472555999
1 13 50 0.103375980351784
1 13 90 0.732933993545286
1 13 95 0.860822024437009
1 14 50 0.150046959974354
1 14 90 0.390963746342859
1 14 95 0.421981202686894
1 15 50 0.123822420609084
1 15 90 0.484081171204288
1 15 95 0.630466880626779
1 16 50 NA
1 16 90 NA
1 16 95 NA
1 17 50 0.285308303707903
1 17 90 0.457196636153319
1 17 95 0.475653293448451
1 18 50 0.156469314461101
1 18 90 0.366899904024577
1 18 95 0.416774798012335
1 19 50 NA
1 19 90 NA
1 19 95 NA
1 20 50 NA
1 20 90 NA
1 20 95 NA
1 21 50 NA
1 21 90 NA
1 21 95 NA
2 0 50 0.0253208633606352
2 0 90 0.123599569577954
2 0 95 0.174002140578169
2 1 50 0.0359902533032432
2 1 90 0.204003067744943
2 1 95 0.307439501919695
2 2 50 0.0562377821030567
2 2 90 0.334034621012839
2 2 95 0.491296778003539
2 3 50 0.0477114239108739
2 3 90 0.352381943308478
2 3 95 0.546023231313926
2 4 50 0.0563484842686583
2 4 90 0.486719863089901
2 4 95 0.733183200043033
2 5 50 0.0630318175494105
2 5 90 0.498641998658117
2 5 95 0.798299078905782
2 6 50 0.057280245876637
2 6 90 0.496285445614454
2 6 95 0.70218233521999
2 7 50 0.0647797672772357
2 7 90 0.572136611837654
2 7 95 0.821706350986873
2 8 50 0.065044673544724
2 8 90 0.663519962292703
2 8 95 0.830484988537829
2 9 50 0.0558257399269576
2 9 90 0.671049358146166
2 9 95 0.869308081218396
2 10 50 0.077170759745488
2 10 90 0.67894292958158
2 10 95 0.849101036165454
2 11 50 0.164388929647815
2 11 90 0.628965453111416
2 11 95 0.843140763365918
2 12 50 0.251897007407206
2 12 90 0.872569444444445
2 12 95 0.973611111111111
