r g mean median sd
1 0 0.25642 0.25 0.127059867030506
1 1 0.2486227 0.2366 0.132683458708782
1 2 0.2414093 0.23595 0.137682114118204
1 3 0.2359122 0.2326 0.141982635980884
1 4 0.2346912 0.23315 0.143672010597712
1 5 0.2306403 0.2261 0.146656777669313
1 6 0.2263662 0.2254 0.14872009973647
1 7 0.2237581 0.22515 0.150073569927488
1 8 0.2206697 0.2205 0.150528288762038
1 9 0.2185785 0.2165 0.151573135558954
1 10 0.2161378 0.2131 0.152744815852879
1 11 0.2137652 0.20605 0.154615986017268
1 12 0.2119285 0.203 0.156251883536996
1 13 0.2095841 0.19245 0.157382683311082
1 14 0.2074538 0.18505 0.157115044164022
1 15 0.2066372 0.18945 0.15710490949919
1 16 0.2063582 0.18915 0.157381801884221
1 17 0.2071323 0.19255 0.158882314675443
1 18 0.2057994 0.1913 0.158244237045771
1 19 0.2047197 0.19015 0.157798509852348
1 20 0.2031117 0.1881 0.157720995068492
1 21 0.2023127 0.18965 0.158109096686956
2 0 0.253533 0.242 0.132043312391606
2 1 0.2440544 0.22945 0.13900260207645
2 2 0.2355911 0.22825 0.143182176007757
2 3 0.2277738 0.2191 0.145721959714736
2 4 0.2207174 0.2107 0.147126520349766
2 5 0.2175165 0.20565 0.148443284814627
2 6 0.2113736 0.19725 0.149597813248619
2 7 0.2061727 0.18755 0.15010987688973
2 8 0.2029039 0.1809 0.150855716437833
2 9 0.1990847 0.1802 0.151422940014625
2 10 0.1955164 0.17245 0.152385053780401
2 11 0.1968208 0.1777 0.15359908269767
2 12 0.1955591 0.1767 0.153615898465789
2 13 0.1949917 0.17585 0.153083140315839
2 14 0.1954912 0.17475 0.154097346098609
2 15 0.1945458 0.17525 0.153754388536895
2 16 0.1954942 0.17445 0.154628406156018
2 17 0.1946155 0.1758 0.154887541785485
2 18 0.1951785 0.17615 0.155745089619836
2 19 0.1953824 0.1743 0.156634988843393
2 20 0.1938575 0.1699 0.156916186843306
2 21 0.1937067 0.16985 0.157208244749846
3 0 0.251208 0.245 0.12380030392229
3 1 0.245626 0.23835 0.134244077621236
3 2 0.2410602 0.2328 0.139505557009018
3 3 0.2392586 0.23105 0.143487963752301
3 4 0.2367655 0.23325 0.146220638334077
3 5 0.2327853 0.2255 0.14834441465478
3 6 0.2291866 0.22475 0.148631279135913
3 7 0.2259331 0.2198 0.150858468346533
3 8 0.2229437 0.21365 0.151664610883701
3 9 0.2196697 0.20955 0.153650719410895
3 10 0.2167962 0.20515 0.154038675595252
3 11 0.2173992 0.2048 0.155886560611039
3 12 0.2172124 0.20285 0.156978366323942
3 13 0.2162422 0.20255 0.156439481431353
3 14 0.2161737 0.2059 0.15650777412535
3 15 0.2148711 0.20245 0.156842050623019
3 16 0.2133718 0.19585 0.156235813032845
3 17 0.2128808 0.1991 0.157124593330227
3 18 0.2126114 0.201 0.157265391212795
3 19 0.2115329 0.20315 0.15627211402298
3 20 0.2101333 0.1966 0.155681843634855
3 21 0.2103927 0.19765 0.155567763581585
4 0 0.251986 0.2285 0.131031015148822
4 1 0.2410805 0.23585 0.140452754568987
4 2 0.2246584 0.2079 0.147427980108115
4 3 0.2161537 0.20085 0.149234275806148
4 4 0.2122921 0.19275 0.150484442102514
4 5 0.2073171 0.1911 0.151590524521537
