r gen percentile mean
1 0 50 0.0277546555038349
1 0 90 0.134451665553071
1 0 95 0.195316768672282
1 1 50 0.0195288606747272
1 1 90 0.103937014052029
1 1 95 0.16641374969865
1 2 50 0.0106860210194724
1 2 90 0.0930509758728895
1 2 95 0.155230708665712
1 3 50 0.00689650244284706
1 3 90 0.0830702411211892
1 3 95 0.146527442719894
1 4 50 0.00459595749038094
1 4 90 0.0709622531999303
1 4 95 0.139372517904918
1 5 50 0.00381050923587625
1 5 90 0.0568065865174351
1 5 95 0.128313516991268
1 6 50 0.00336605213107266
1 6 90 0.0623914233655176
1 6 95 0.134352122379253
1 7 50 0.00282797971938107
1 7 90 0.0467283956412827
1 7 95 0.114044359703315
1 8 50 0.00239836546956908
1 8 90 0.0368624594929581
1 8 95 0.0937068600632025
1 9 50 0.00232926330635707
1 9 90 0.0391868294133758
1 9 95 0.0935210906354925
1 10 50 0.00244350135289863
1 10 90 0.0390873896492173
1 10 95 0.0933955080302878
1 11 50 0.00243812448876236
1 11 90 0.0412925649114347
1 11 95 0.100302348206025
1 12 50 0.00255334038578976
1 12 90 0.034307019244689
1 12 95 0.0963781058998949
1 13 50 0.00229070151873226
1 13 90 0.0361366962052416
1 13 95 0.0869886077552078
1 14 50 0.00213644851561755
1 14 90 0.0283474934937541
1 14 95 0.0689997730169276
1 15 50 0.00191758013241842
1 15 90 0.0245179050195372
1 15 95 0.0700001837236462
1 16 50 0.00199264297281294
1 16 90 0.0266441223100026
1 16 95 0.0821799960832961
1 17 50 0.00171887085237107
1 17 90 0.021685375161116
1 17 95 0.0538373363108118
1 18 50 0.00177330091410012
1 18 90 0.0202766926512207
1 18 95 0.0559010121657981
1 19 50 0.00190271319956883
1 19 90 0.0196631655207359
1 19 95 0.0494989299676351
1 20 50 0.00185846161744516
1 20 90 0.0238334540157938
1 20 95 0.0516218536214638
1 21 50 0.00181863425105736
1 21 90 0.0197567641846053
1 21 95 0.0482202300597766
2 0 50 0.0286731472952206
2 0 90 0.148323971566046
2 0 95 0.212473451479481
2 1 50 0.0183783148782622
2 1 90 0.115166442250996
2 1 95 0.169075214586328
2 2 50 0.0101550314161029
2 2 90 0.0945610946402866
2 2 95 0.15771094429401
2 3 50 0.00573086738382913
2 3 90 0.0679922907385672
2 3 95 0.141959214904607
2 4 50 0.00410251480739467
2 4 90 0.0714014691819038
2 4 95 0.146372404824922
2 5 50 0.00307654159421952
2 5 90 0.0488942848012199
2 5 95 0.103432290741902
2 6 50 0.00275795404812103
2 6 90 0.0475172881117327
2 6 95 0.110962687463576
2 7 50 0.00255022964586586
2 7 90 0.0451487781099753
2 7 95 0.114067725887624
2 8 50 0.00221595281930473
2 8 90 0.0338875782921402
2 8 95 0.0928919760427001
2 9 50 0.00218972907775207
2 9 90 0.0339300095655201
2 9 95 0.0857722360268539
2 10 50 0.00218255309272193
2 10 90 0.0328114629179369
2 10 95 0.0782460713656818
2 11 50 0.00225884755302665
2 11 90 0.0314136449881248
2 11 95 0.0754225482685247
2 12 50 0.0020636870140752
2 12 90 0.0292276795968497
2 12 95 0.0720250089287277
